content_id,subject,sentiment_value,sentiment_word
01htTx8jcsqp3CYr,配置,1,
01kgxZUTtfODp2hr,操控,1,
03wYj5KyOnLcmbHe,动力,0,
056sXLUenx1pItMv,配置,0,
05JqRAdHXSsbxWvr,舒适性,0,
0653EkFWJzSYsP7w,舒适性,0,
06H4OMfwaG1xoqFb,配置,0,
06iTfdx8yo1OmEZq,空间,0,
06vJk25tLPqSAOp1,油耗,0,
06vPIQBqVNe2dl3f,操控,1,
06vPIQBqVNe2dl3f,油耗,0,
073DfApbZlcJ1tWE,价格,0,
09hwsk7P5cvaVKXg,舒适性,0,
0AghVaU3zovyfZK6,油耗,0,
0aKUsYjmWXVMlc1w,动力,0,
0aNFWEteHpDCxqj2,操控,0,
0aPkxUi8QZB49jAq,油耗,0,
0AsYm8O6JBuqCh73,动力,0,
0AsYm8O6JBuqCh73,操控,0,
0aUM14td75FBNEfl,操控,-1,
0aUzxbsfLNnljZMS,空间,1,
0avxYXt4Ld2TDHVq,外观,0,
0BCubTaSJ4V7jGAd,舒适性,0,
0BvCpAUIK2TVrbl8,动力,0,
0dfh6vX5ZxrRSjqQ,操控,0,
0dfh6vX5ZxrRSjqQ,舒适性,-1,
0EAkf51SzTLG6ghq,价格,1,
0EAkf51SzTLG6ghq,空间,0,
0EkBRAYPsfOTt4z3,空间,0,
0elCG69Ygt8Pn4hT,操控,0,
0euRkBO8AwisjYTJ,配置,0,
0evmp72SRax4Tquw,动力,0,
0F8ytidf6PamDRGX,内饰,-1,
0FhVawIBEuy3rkZt,动力,0,
0Flnd8hRq7C9kLGP,动力,0,
0futiKXa5Eon9OBI,动力,0,
0g58m1hpyZjdksD4,动力,-1,
0GaZuph6FqvTHYKg,价格,0,
0gKMWbXrF2qyRTEk,操控,0,
0goOzYUThjRQ5B2y,内饰,1,
0gP1SuYKHVjDUZXN,油耗,0,
0GtHsUD3ikzZoX5q,油耗,0,
0gTQCnKUoP9zv5mS,动力,1,
0hcGSNLWQne3kuqE,价格,0,
0HR9mNhn3dzgXr1F,价格,0,
0IRxNGSPiKg71oY4,价格,0,
0iSwPD64tGvsAogc,动力,0,
0IVPXJjFT6mMQvR8,动力,0,
0jTdQIPg6ZaLp57O,外观,0,
0kZfMDNlHSXTwoVb,舒适性,0,
0L9oFv53GRgAKxZO,动力,0,
0lDiXVGqkezETMvb,动力,0,
0lDiXVGqkezETMvb,油耗,0,
0lIuJGehVMFN3YQR,操控,0,
0lY1N5m9ForC4sjw,配置,-1,
0m3DxdfAIcgnE4kM,内饰,0,
0nIAjDeH84L1uSkb,油耗,0,
0nPKSdI4lmUEv6u3,动力,0,
0oj9xOc1bdiVTDmI,动力,0,
0pGMcY4nAIeV2xqW,动力,0,
0pJnq2mEzhHZ3Arv,油耗,0,
0PkqaRMTlJwYhgH7,价格,0,
0PLuvKeUR7rkHsot,内饰,1,
0qKQsSZMWBugPekR,安全性,0,
0RD2OSET4WNFQcYr,价格,0,
0rdH5sbR7CteoOUW,操控,0,
0SpZ2tHfBg8dLkRc,舒适性,0,
0suojbqVSYImN6d8,动力,0,
0SwhJdO4HzX3MF6s,动力,0,
0sx7Mr5RtQaT1Obg,舒适性,0,
0T2YuZpFsABCybz7,外观,-1,
0tVHv4SZnlkuoIwg,动力,-1,
0U5V2ablhdEfK4GF,油耗,0,
0UFPpKZAuO58jTk1,油耗,0,
0UjRrg1oJKOlsDZy,价格,0,
0uzRerwNi3KJ7L1F,配置,-1,
0VapY68qAvofEUgt,价格,0,
0veEh8GcN4oBMRO2,动力,1,
0veEh8GcN4oBMRO2,舒适性,1,
0vwSAdLsmoXuOf7U,油耗,0,
0w4F1sHvy7JLnVDl,动力,0,
0wDgjI7Gt1a9iHFm,动力,0,
0xMzRKSWuwc6QOik,安全性,0,
0y5iDkRJPxa3BvXw,内饰,0,
0y5iDkRJPxa3BvXw,外观,0,
0Yj4uHZJSBzlD7ix,动力,0,
0Z6xEOVphIgLod4X,空间,1,
0ZcJSahWkL3TmIzN,动力,-1,
0Zh2ndUCFcuGq5vM,动力,-1,
0zLr27HtD5AelUq4,内饰,-1,
0zvVXq62e1A9ib4W,价格,1,
0zvVXq62e1A9ib4W,操控,1,
10jN9LtICWPOEuhn,动力,0,
10jN9LtICWPOEuhn,操控,0,
127lUh3Id8pjrxBP,动力,0,
14dQnL9lxMYeksH3,安全性,0,
1782QoS3I4XrgZba,内饰,-1,
